video,img_name,time_s,genus,species,detection_threshold
pelagic_short,frame132,12.0,shark,,0.83009624
pelagic_short,frame133,12.0,shark,,0.80469567
pelagic_short,frame135,12.0,shark,,0.8087243
pelagic_short,frame162,15.0,shark,,0.8452593
pelagic_short,frame163,15.0,shark,,0.9041
pelagic_short,frame164,15.0,shark,,0.93022615
pelagic_short,frame165,15.0,shark,,0.94554055
pelagic_short,frame166,15.0,shark,,0.9487871
pelagic_short,frame167,16.0,shark,,0.94158256
pelagic_short,frame168,16.0,shark,,0.8795297
pelagic_short,frame169,16.0,shark,,0.87615615
pelagic_short,frame170,16.0,shark,,0.8998454
pelagic_short,frame171,16.0,shark,,0.89518684
pelagic_short,frame172,16.0,shark,,0.96175194
pelagic_short,frame173,16.0,shark,,0.9595552
pelagic_short,frame175,16.0,shark,,0.8480236
pelagic_short,frame176,16.0,shark,,0.93927926
pelagic_short,frame177,17.0,shark,,0.9275469
pelagic_short,frame178,17.0,shark,,0.9426025
pelagic_short,frame179,17.0,shark,,0.91285986
pelagic_short,frame180,17.0,shark,,0.90148205
pelagic_short,frame181,17.0,shark,,0.9207504
pelagic_short,frame182,17.0,shark,,0.8698601
pelagic_short,frame183,17.0,shark,,0.82467127
pelagic_short,frame184,17.0,shark,,0.8910219
pelagic_short,frame185,17.0,shark,,0.9761218
pelagic_short,frame186,17.0,shark,,0.98601043
pelagic_short,frame187,18.0,shark,,0.98806816
pelagic_short,frame188,18.0,shark,,0.9826066
pelagic_short,frame189,18.0,shark,,0.9810651
pelagic_short,frame190,18.0,shark,,0.9887566
pelagic_short,frame191,18.0,shark,,0.988063
pelagic_short,frame192,18.0,shark,,0.9835329
pelagic_short,frame193,18.0,shark,,0.9872857
pelagic_short,frame194,18.0,shark,,0.9749351
pelagic_short,frame195,18.0,shark,,0.97080034
pelagic_short,frame196,18.0,shark,,0.9768869
pelagic_short,frame197,18.0,shark,,0.9720408
pelagic_short,frame198,19.0,shark,,0.9659298
pelagic_short,frame199,19.0,shark,,0.9573044
pelagic_short,frame200,19.0,shark,,0.961829
pelagic_short,frame201,19.0,shark,,0.93713903
pelagic_short,frame202,19.0,shark,,0.93146026
pelagic_short,frame203,19.0,shark,,0.90124375
pelagic_short,frame204,19.0,shark,,0.8871239
pelagic_short,frame205,19.0,shark,,0.9218262
pelagic_short,frame206,19.0,shark,,0.947614
pelagic_short,frame207,19.0,shark,,0.9730109
pelagic_short,frame208,20.0,shark,,0.97250956
pelagic_short,frame209,20.0,shark,,0.9776618
pelagic_short,frame210,20.0,shark,,0.9763849
pelagic_short,frame211,20.0,shark,,0.98106295
pelagic_short,frame212,20.0,shark,,0.96677357
pelagic_short,frame213,20.0,shark,,0.9606537
pelagic_short,frame214,20.0,shark,,0.9551001
pelagic_short,frame215,20.0,shark,,0.95357716
pelagic_short,frame216,20.0,shark,,0.92960954
pelagic_short,frame217,20.0,shark,,0.91825134
pelagic_short,frame218,20.0,shark,,0.91800463
pelagic_short,frame219,21.0,shark,,0.9123693
pelagic_short,frame220,21.0,shark,,0.95152855
pelagic_short,frame221,21.0,shark,,0.96364844
pelagic_short,frame222,21.0,shark,,0.9816212
pelagic_short,frame223,21.0,shark,,0.9854805
pelagic_short,frame224,21.0,shark,,0.9904034
pelagic_short,frame225,21.0,shark,,0.98541427
pelagic_short,frame226,21.0,shark,,0.9848717
pelagic_short,frame227,21.0,shark,,0.98262286
pelagic_short,frame228,21.0,shark,,0.97797704
pelagic_short,frame229,22.0,shark,,0.95044184
pelagic_short,frame230,22.0,shark,,0.9673883
pelagic_short,frame231,22.0,shark,,0.95573026
pelagic_short,frame232,22.0,shark,,0.9613962
pelagic_short,frame233,22.0,shark,,0.9268543
pelagic_short,frame234,22.0,shark,,0.91131586
pelagic_short,frame235,22.0,shark,,0.92240953
pelagic_short,frame236,22.0,shark,,0.9338827
pelagic_short,frame237,22.0,shark,,0.92101073
pelagic_short,frame238,22.0,shark,,0.92553914
pelagic_short,frame239,23.0,shark,,0.9293903
